sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
3232249957,3232249958,37152,443,6,6,867,27,0.045
3232249958,3232249957,443,37152,6,5,1818,27,0.045
3232249957,3232249958,37154,443,6,7,919,27,0.043
3232249958,3232249957,443,37154,6,4,1766,27,0.043
3232249957,3232249958,37156,443,6,6,867,27,0.023
3232249958,3232249957,443,37156,6,5,1818,27,0.023
3232249957,3232249958,37158,443,6,7,919,27,0.018
3232249958,3232249957,443,37158,6,4,1766,27,0.018
3232249957,3232249958,37162,443,6,6,914,27,0.045
3232249958,3232249957,443,37162,6,5,508,27,0.045
3232249957,3232249958,37160,443,6,20,4972,30,22.161
3232249958,3232249957,443,37160,6,14,16303,27,22.161
3232249957,3232249958,37188,443,6,6,867,27,0.057
3232249958,3232249957,443,37188,6,5,1818,27,0.057
3232249957,3232249958,37190,443,6,7,919,27,0.041
3232249958,3232249957,443,37190,6,4,1766,27,0.041
3232249957,3232249958,37192,443,6,6,867,27,0.007
3232249958,3232249957,443,37192,6,5,1818,27,0.007
3232249957,3232249958,37194,443,6,7,919,27,0.005
3232249958,3232249957,443,37194,6,4,1766,27,0.005
3232249957,3232249958,37198,443,6,6,914,27,0.005
3232249958,3232249957,443,37198,6,5,508,27,0.004
3232249957,3232249958,37196,443,6,20,4984,30,5.824
3232249958,3232249957,443,37196,6,14,16304,27,5.824
3232249957,3232249958,37200,443,6,6,914,27,0.004
3232249958,3232249957,443,37200,6,5,508,27,0.003
3232249957,3232249958,37204,443,6,6,867,27,0.006
3232249958,3232249957,443,37204,6,5,1818,27,0.006
3232249957,3232249958,37202,443,6,7,919,27,0.006
3232249958,3232249957,443,37202,6,4,1766,27,0.006
3232249957,3232249958,37208,443,6,6,914,27,0.003
3232249958,3232249957,443,37208,6,5,508,27,0.003
3232249957,3232249958,37210,443,6,7,966,27,0.008
3232249958,3232249957,443,37210,6,4,456,27,0.008
3232249957,3232249958,37206,443,6,24,7531,30,12.641
3232249958,3232249957,443,37206,6,15,18049,27,12.641
3232249957,3232249958,37214,443,6,7,919,27,0.006
3232249958,3232249957,443,37214,6,4,1766,27,0.006
3232249957,3232249958,37212,443,6,6,867,27,0.007
3232249958,3232249957,443,37212,6,5,1818,27,0.007
3232249957,3232249958,37216,443,6,14,3097,30,5.244
3232249958,3232249957,443,37216,6,9,5505,27,5.244
3232249957,3232249958,37218,443,6,6,914,27,0.002
3232249958,3232249957,443,37218,6,5,508,27,0.002
3232249957,3232249958,37220,443,6,7,966,27,0.003
3232249958,3232249957,443,37220,6,4,456,27,0.003
3232249957,3232249958,37224,443,6,7,966,27,0.004
3232249958,3232249957,443,37224,6,4,456,27,0.004
3232249957,3232249958,37226,443,6,7,966,27,0.005
3232249958,3232249957,443,37226,6,4,456,27,0.005
3232249957,3232249958,37222,443,6,20,5358,30,11.270
3232249958,3232249957,443,37222,6,12,13287,27,11.270
3232249957,3232249958,37228,443,6,7,919,27,0.008
3232249958,3232249957,443,37228,6,4,1766,27,0.008
3232249957,3232249958,37230,443,6,7,919,27,0.005
3232249958,3232249957,443,37230,6,4,1766,27,0.005
3232249957,3232249958,37234,443,6,7,966,27,0.004
3232249958,3232249957,443,37234,6,4,456,27,0.004
3232249957,3232249958,37236,443,6,6,914,27,0.009
3232249958,3232249957,443,37236,6,5,508,27,0.009
3232249957,3232249958,37238,443,6,7,919,27,0.006
3232249958,3232249957,443,37238,6,4,1766,27,0.006
3232249957,3232249958,37240,443,6,7,919,27,0.008
3232249958,3232249957,443,37240,6,4,1766,27,0.008
3232249957,3232249958,37242,443,6,7,919,27,0.010
3232249958,3232249957,443,37242,6,4,1766,27,0.010
3232249957,3232249958,37244,443,6,7,919,27,0.008
3232249958,3232249957,443,37244,6,4,1766,27,0.008
3232249957,3232249958,37246,443,6,7,919,27,0.013
3232249958,3232249957,443,37246,6,4,1766,27,0.013
3232249957,3232249958,37248,443,6,7,919,27,0.005
3232249958,3232249957,443,37248,6,4,1766,27,0.005
3232249957,3232249958,37232,443,6,32,10770,30,21.970
3232249958,3232249957,443,37232,6,18,26331,27,21.970
3232249957,3232249958,37250,443,6,7,919,27,0.007
3232249958,3232249957,443,37250,6,4,1766,27,0.007
3232249957,3232249958,37252,443,6,7,919,27,0.006
3232249958,3232249957,443,37252,6,5,1818,27,0.006
3232249957,3232249958,37256,443,6,6,914,27,0.005
3232249958,3232249957,443,37256,6,5,508,27,0.005
3232249957,3232249958,37258,443,6,7,966,27,0.003
3232249958,3232249957,443,37258,6,4,456,27,0.003
3232249957,3232249958,37254,443,6,18,4653,30,8.528
3232249958,3232249957,443,37254,6,11,12598,27,8.528
3232249957,3232249958,37260,443,6,7,919,27,0.005
3232249958,3232249957,443,37260,6,4,1766,27,0.005
3232249957,3232249958,37262,443,6,7,919,27,0.004
3232249958,3232249957,443,37262,6,4,1766,27,0.003
3232249957,3232249958,37266,443,6,7,966,27,0.003
3232249958,3232249957,443,37266,6,4,456,27,0.003
3232249957,3232249958,37268,443,6,7,966,27,0.005
3232249958,3232249957,443,37268,6,4,456,27,0.005
3232249957,3232249958,37264,443,6,20,5347,30,9.212
3232249958,3232249957,443,37264,6,13,13354,27,9.212
3232249957,3232249958,37270,443,6,7,919,27,0.004
3232249958,3232249957,443,37270,6,4,1766,27,0.004
3232249957,3232249958,37272,443,6,7,919,27,0.007
3232249958,3232249957,443,37272,6,4,1766,27,0.007
3232249957,3232249958,37274,443,6,6,867,27,0.009
3232249958,3232249957,443,37274,6,5,1818,27,0.009
3232249957,3232249958,37278,443,6,6,914,27,0.006
3232249958,3232249957,443,37278,6,5,508,27,0.006
3232249957,3232249958,37280,443,6,7,966,27,0.004
3232249958,3232249957,443,37280,6,4,456,27,0.004
3232249957,3232249958,37276,443,6,18,4496,30,9.955
3232249958,3232249957,443,37276,6,11,9654,27,9.955
3232249957,3232249958,37282,443,6,7,919,27,0.005
3232249958,3232249957,443,37282,6,4,1766,27,0.005
3232249957,3232249958,37284,443,6,7,919,27,0.004
3232249958,3232249957,443,37284,6,4,1766,27,0.003
3232249957,3232249958,37288,443,6,7,966,27,0.010
3232249958,3232249957,443,37288,6,5,508,27,0.010
3232249957,3232249958,37290,443,6,7,966,27,0.004
3232249958,3232249957,443,37290,6,4,456,27,0.004
3232249957,3232249958,37286,443,6,18,4512,30,7.841
3232249958,3232249957,443,37286,6,11,9681,27,7.841
3232249957,3232249958,37294,443,6,6,867,27,0.007
3232249958,3232249957,443,37294,6,5,1818,27,0.007
3232249957,3232249958,37292,443,6,6,867,27,0.009
3232249958,3232249957,443,37292,6,5,1818,27,0.009
3232249957,3232249958,37298,443,6,7,966,27,0.005
3232249958,3232249957,443,37298,6,4,456,27,0.005
3232249957,3232249958,37300,443,6,6,914,27,0.003
3232249958,3232249957,443,37300,6,5,508,27,0.003
3232249957,3232249958,37302,443,6,6,867,27,0.007
3232249958,3232249957,443,37302,6,5,1818,27,0.007
3232249957,3232249958,37304,443,6,7,919,27,0.005
3232249958,3232249957,443,37304,6,4,1766,27,0.005
3232249957,3232249958,37306,443,6,7,919,27,0.005
3232249958,3232249957,443,37306,6,4,1766,27,0.005
3232249957,3232249958,37308,443,6,7,919,27,0.007
3232249958,3232249957,443,37308,6,4,1766,27,0.007
3232249957,3232249958,37310,443,6,7,919,27,0.004
3232249958,3232249957,443,37310,6,4,1766,27,0.004
3232249957,3232249958,37312,443,6,7,919,27,0.004
3232249958,3232249957,443,37312,6,4,1766,27,0.004
3232249957,3232249958,37296,443,6,32,10712,30,17.939
